Samsung,Sony,Media_tek,ZTE
122.88 ,119.21 ,124.00 ,122.55 
123.02 ,122.98 ,124.04 ,123.09 
123.32 ,123.30 ,124.08 ,123.36 
123.55 ,123.50 ,124.10 ,123.52 
123.65 ,123.65 ,124.13 ,123.63 
123.73 ,123.76 ,124.16 ,123.71 
123.70 ,123.85 ,124.20 ,123.77 
123.86 ,123.92 ,124.22 ,123.85 
123.92 ,123.98 ,124.25 ,123.92 
123.97 ,124.03 ,124.27 ,123.97 
124.02 ,124.08 ,124.30 ,124.02 
124.06 ,124.12 ,124.32 ,124.07 
124.10 ,124.16 ,124.34 ,124.13 
124.14 ,124.20 ,124.36 ,124.17 
124.22 ,124.24 ,124.38 ,124.21 
124.25 ,124.27 ,124.40 ,124.25 
124.29 ,124.30 ,124.42 ,124.29 
124.32 ,124.34 ,124.44 ,124.33 
124.38 ,124.37 ,124.46 ,124.37 
124.40 ,124.40 ,124.48 ,124.41 
124.44 ,124.43 ,124.50 ,124.44 
124.47 ,124.46 ,124.52 ,124.47 
124.53 ,124.49 ,124.56 ,124.50 
124.56 ,124.52 ,124.60 ,124.54 
124.58 ,124.55 ,124.63 ,124.56 
124.61 ,124.57 ,124.67 ,124.61 
124.64 ,124.61 ,124.70 ,124.64 
124.66 ,124.64 ,124.72 ,124.68 
124.72 ,124.66 ,124.74 ,124.71 
124.74 ,124.68 ,124.78 ,124.74 
124.80 ,124.71 ,124.80 ,124.77 
124.81 ,124.74 ,124.82 ,124.81 
124.87 ,124.78 ,124.84 ,124.85 
124.89 ,124.81 ,124.86 ,124.88 
124.94 ,124.83 ,124.88 ,124.92 
124.96 ,124.86 ,124.90 ,124.95 
124.98 ,124.89 ,124.92 ,124.98 
125.01 ,124.92 ,124.94 ,125.01 
125.03 ,124.94 ,124.96 ,125.04 
125.05 ,124.97 ,124.98 ,125.06 
125.08 ,125.00 ,125.00 ,125.08 
125.11 ,125.03 ,125.02 ,125.12 
125.12 ,125.05 ,125.04 ,125.14 
125.15 ,125.08 ,125.06 ,125.18 
125.23 ,125.11 ,125.08 ,125.20 
125.24 ,125.14 ,125.10 ,125.24 
125.28 ,125.16 ,125.15 ,125.27 
125.30 ,125.18 ,125.20 ,125.29 
125.31 ,125.21 ,125.23 ,125.31 
125.34 ,125.23 ,125.27 ,125.34 
125.37 ,125.26 ,125.30 ,125.37 
125.39 ,125.28 ,125.32 ,125.39 
125.41 ,125.31 ,125.34 ,125.42 
125.43 ,125.34 ,125.36 ,125.44 
125.46 ,125.37 ,125.38 ,125.47 
125.49 ,125.39 ,125.40 ,125.49 
125.50 ,125.42 ,125.42 ,125.52 
125.56 ,125.45 ,125.44 ,125.56 
125.58 ,125.48 ,125.46 ,125.58 
125.62 ,125.51 ,125.48 ,125.61 
125.63 ,125.53 ,125.50 ,125.64 
125.65 ,125.56 ,125.52 ,125.67 
125.69 ,125.58 ,125.54 ,125.69 
125.73 ,125.62 ,125.56 ,125.72 
125.76 ,125.65 ,125.58 ,125.76 
125.79 ,125.67 ,125.60 ,125.79 
125.81 ,125.70 ,125.62 ,125.81 
125.84 ,125.73 ,125.64 ,125.83 
125.87 ,125.76 ,125.66 ,125.86 
125.89 ,125.79 ,125.68 ,125.89 
125.93 ,125.82 ,125.70 ,125.92 
125.96 ,125.85 ,125.72 ,125.94 
125.99 ,125.87 ,125.75 ,125.97 
126.03 ,125.90 ,125.78 ,126.00 
126.06 ,125.93 ,125.84 ,126.04 
126.09 ,125.96 ,125.86 ,126.07 
126.13 ,125.99 ,125.90 ,126.11 
126.16 ,126.02 ,125.92 ,126.15 
126.19 ,126.06 ,125.94 ,126.19 
126.24 ,126.09 ,125.97 ,126.22 
126.28 ,126.12 ,126.00 ,126.26 
126.32 ,126.15 ,126.02 ,126.30 
126.36 ,126.19 ,126.04 ,126.32 
126.39 ,126.23 ,126.06 ,126.36 
126.40 ,126.27 ,126.08 ,126.40 
126.43 ,126.30 ,126.10 ,126.45 
126.46 ,126.35 ,126.14 ,126.49 
126.51 ,126.39 ,126.18 ,126.51 
126.57 ,126.44 ,126.22 ,126.56 
126.63 ,126.49 ,126.27 ,126.63 
126.71 ,126.55 ,126.30 ,126.70 
126.77 ,126.61 ,126.38 ,126.74 
126.83 ,126.67 ,126.45 ,126.80 
126.85 ,126.74 ,126.51 ,126.87 
126.93 ,126.83 ,126.55 ,126.95 
127.04 ,126.93 ,126.60 ,127.05 
127.16 ,127.06 ,126.68 ,127.16 
127.21 ,127.23 ,126.75 ,127.28 
127.41 ,127.45 ,126.80 ,127.41 
127.70 ,127.90 ,126.95 ,127.78 
128.77 ,131.64 ,127.10 ,128.70 
