Samsung,Sony,Media_tek,ZTE
-3.84 ,-3.68 ,-3.75 ,-3.81 
-3.50 ,-3.24 ,-3.65 ,-3.46 
-3.36 ,-3.09 ,-3.42 ,-3.29 
-3.25 ,-2.96 ,-3.32 ,-3.18 
-3.13 ,-2.87 ,-3.25 ,-3.10 
-3.05 ,-2.78 ,-3.15 ,-3.03 
-2.99 ,-2.69 ,-3.10 ,-2.94 
-2.93 ,-2.63 ,-3.05 ,-2.90 
-2.86 ,-2.56 ,-2.92 ,-2.85 
-2.82 ,-2.52 ,-2.85 ,-2.81 
-2.79 ,-2.47 ,-2.80 ,-2.75 
-2.75 ,-2.43 ,-2.75 ,-2.70 
-2.72 ,-2.40 ,-2.65 ,-2.66 
-2.69 ,-2.36 ,-2.60 ,-2.63 
-2.66 ,-2.32 ,-2.55 ,-2.59 
-2.62 ,-2.28 ,-2.50 ,-2.54 
-2.58 ,-2.24 ,-2.45 ,-2.50 
-2.56 ,-2.20 ,-2.42 ,-2.45 
-2.52 ,-2.16 ,-2.38 ,-2.41 
-2.48 ,-2.11 ,-2.34 ,-2.38 
-2.44 ,-2.07 ,-2.30 ,-2.35 
-2.39 ,-2.02 ,-2.26 ,-2.30 
-2.35 ,-1.98 ,-2.22 ,-2.27 
-2.31 ,-1.94 ,-2.15 ,-2.23 
-2.27 ,-1.90 ,-2.07 ,-2.18 
-2.23 ,-1.86 ,-2.00 ,-2.16 
-2.19 ,-1.83 ,-1.98 ,-2.13 
-2.16 ,-1.78 ,-1.95 ,-2.08 
-2.12 ,-1.75 ,-1.92 ,-2.05 
-2.08 ,-1.71 ,-1.88 ,-2.02 
-2.05 ,-1.67 ,-1.85 ,-1.97 
-2.02 ,-1.63 ,-1.83 ,-1.92 
-1.98 ,-1.58 ,-1.80 ,-1.87 
-1.94 ,-1.55 ,-1.75 ,-1.83 
-1.89 ,-1.51 ,-1.70 ,-1.78 
-1.84 ,-1.47 ,-1.65 ,-1.75 
-1.79 ,-1.42 ,-1.60 ,-1.71 
-1.74 ,-1.36 ,-1.57 ,-1.66 
-1.71 ,-1.32 ,-1.52 ,-1.61 
-1.65 ,-1.28 ,-1.46 ,-1.57 
-1.59 ,-1.24 ,-1.40 ,-1.50 
-1.56 ,-1.20 ,-1.36 ,-1.46 
-1.52 ,-1.16 ,-1.32 ,-1.42 
-1.48 ,-1.12 ,-1.28 ,-1.37 
-1.43 ,-1.08 ,-1.24 ,-1.33 
-1.38 ,-1.03 ,-1.20 ,-1.29 
-1.34 ,-0.99 ,-1.16 ,-1.26 
-1.29 ,-0.95 ,-1.12 ,-1.21 
-1.24 ,-0.91 ,-1.08 ,-1.16 
-1.21 ,-0.87 ,-1.04 ,-1.13 
-1.15 ,-0.82 ,-1.00 ,-1.09 
-1.10 ,-0.77 ,-0.96 ,-1.06 
-1.06 ,-0.72 ,-0.92 ,-1.01 
-1.00 ,-0.66 ,-0.88 ,-0.98 
-0.96 ,-0.62 ,-0.84 ,-0.94 
-0.91 ,-0.57 ,-0.80 ,-0.88 
-0.87 ,-0.52 ,-0.76 ,-0.82 
-0.82 ,-0.48 ,-0.72 ,-0.78 
-0.77 ,-0.43 ,-0.68 ,-0.74 
-0.71 ,-0.39 ,-0.64 ,-0.69 
-0.66 ,-0.35 ,-0.60 ,-0.64 
-0.62 ,-0.30 ,-0.56 ,-0.60 
-0.59 ,-0.26 ,-0.52 ,-0.55 
-0.55 ,-0.22 ,-0.45 ,-0.50 
-0.51 ,-0.18 ,-0.40 ,-0.46 
-0.46 ,-0.13 ,-0.36 ,-0.41 
-0.41 ,-0.08 ,-0.32 ,-0.39 
-0.36 ,-0.04 ,-0.28 ,-0.32 
-0.32 ,0.01 ,-0.23 ,-0.26 
-0.28 ,0.07 ,-0.19 ,-0.23 
-0.23 ,0.11 ,-0.15 ,-0.19 
-0.18 ,0.16 ,-0.08 ,-0.13 
-0.12 ,0.21 ,-0.04 ,-0.06 
-0.07 ,0.27 ,0.00 ,-0.01 
-0.02 ,0.31 ,0.05 ,0.04 
0.03 ,0.35 ,0.10 ,0.08 
0.09 ,0.39 ,0.14 ,0.12 
0.13 ,0.44 ,0.18 ,0.15 
0.18 ,0.49 ,0.25 ,0.20 
0.21 ,0.53 ,0.30 ,0.24 
0.25 ,0.58 ,0.35 ,0.29 
0.31 ,0.63 ,0.39 ,0.35 
0.37 ,0.67 ,0.43 ,0.41 
0.42 ,0.73 ,0.47 ,0.46 
0.48 ,0.78 ,0.51 ,0.52 
0.54 ,0.83 ,0.55 ,0.56 
0.60 ,0.88 ,0.60 ,0.61 
0.64 ,0.94 ,0.64 ,0.64 
0.70 ,0.99 ,0.70 ,0.71 
0.73 ,1.04 ,0.75 ,0.76 
0.76 ,1.08 ,0.85 ,0.80 
0.81 ,1.14 ,0.90 ,0.84 
0.85 ,1.19 ,0.95 ,0.89 
0.92 ,1.24 ,1.00 ,0.96 
0.98 ,1.31 ,1.05 ,1.00 
1.03 ,1.36 ,1.10 ,1.07 
1.09 ,1.42 ,1.15 ,1.12 
1.14 ,1.47 ,1.20 ,1.17 
1.18 ,1.52 ,1.25 ,1.20 
1.22 ,1.58 ,1.30 ,1.26 
1.28 ,1.77 ,1.50 ,1.48 
